,5p_length,5p_bulges,5p_bulges_len,5p_basepair,5p_basepair_len,3p_length,3p_bulges,3p_bulges_len,3p_basepair,3p_basepair_len
Bla-Mir-2062,22,1,0.045454545454545456,21,0.9545454545454546,22,2,0.09090909090909091,18,0.8181818181818182
Xla-Mir-101-P1a-v1,22,1,0.045454545454545456,21,0.9545454545454546,22,1,0.045454545454545456,19,0.8636363636363636
Cpo-Mir-6529,21,5,0.23809523809523808,16,0.7619047619047619,22,4,0.18181818181818182,16,0.7272727272727273
Ami-Mir-199-P1-v1,23,5,0.21739130434782608,18,0.782608695652174,22,3,0.13636363636363635,17,0.7727272727272727
Tni-Mir-24-P3,24,6,0.25,18,0.75,22,3,0.13636363636363635,17,0.7727272727272727
Sto-Mir-196-P3,22,4,0.18181818181818182,18,0.8181818181818182,22,3,0.13636363636363635,17,0.7727272727272727
Gga-Mir-17-P1c,23,6,0.2608695652173913,17,0.7391304347826086,23,6,0.2608695652173913,15,0.6521739130434783
Cgi-Mir-184-P11,23,6,0.2608695652173913,17,0.7391304347826086,22,5,0.22727272727272727,15,0.6818181818181818
Dre-Mir-15-P1a2,22,4,0.18181818181818182,18,0.8181818181818182,22,3,0.13636363636363635,17,0.7727272727272727
Lpo-Mir-10-P4n,23,4,0.17391304347826086,19,0.8260869565217391,23,4,0.17391304347826086,17,0.7391304347826086
Bla-Mir-137-P15a,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Dya-Mir-999,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Xla-Mir-204-P2a,23,6,0.2608695652173913,17,0.7391304347826086,22,4,0.18181818181818182,16,0.7272727272727273
Tni-Mir-489-v1,22,4,0.18181818181818182,18,0.8181818181818182,22,5,0.22727272727272727,15,0.6818181818181818
Tgu-Let-7-P2b4,22,3,0.13636363636363635,19,0.8636363636363636,21,2,0.09523809523809523,17,0.8095238095238095
Loc-Mir-219-P2,23,3,0.13043478260869565,20,0.8695652173913043,22,3,0.13636363636363635,17,0.7727272727272727
Bta-Let-7-P2c2,22,1,0.045454545454545456,21,0.9545454545454546,21,1,0.047619047619047616,18,0.8571428571428571
Efe-Mir-124-P19,24,4,0.16666666666666666,20,0.8333333333333334,22,2,0.09090909090909091,18,0.8181818181818182
Cgi-Mir-216-P1,23,5,0.21739130434782608,18,0.782608695652174,22,4,0.18181818181818182,16,0.7272727272727273
Xtr-Mir-24-P2,23,5,0.21739130434782608,18,0.782608695652174,22,3,0.13636363636363635,17,0.7727272727272727
Spu-Mir-92-o19,22,2,0.09090909090909091,20,0.9090909090909091,22,1,0.045454545454545456,19,0.8636363636363636
Mdo-Mir-101-P1-v1,22,1,0.045454545454545456,21,0.9545454545454546,22,1,0.045454545454545456,19,0.8636363636363636
Lch-Mir-193-P1a,22,5,0.22727272727272727,17,0.7727272727272727,22,4,0.18181818181818182,16,0.7272727272727273
Cli-Mir-459,24,3,0.125,21,0.875,23,2,0.08695652173913043,19,0.8260869565217391
Oan-Let-7-P2c3,22,2,0.09090909090909091,20,0.9090909090909091,21,1,0.047619047619047616,18,0.8571428571428571
Asu-Mir-36-o31,24,6,0.25,18,0.75,23,4,0.17391304347826086,17,0.7391304347826086
Cpi-Mir-17-P2c,23,5,0.21739130434782608,18,0.782608695652174,25,5,0.2,18,0.72
Mmu-Mir-188-P2,22,6,0.2727272727272727,16,0.7272727272727273,22,5,0.22727272727272727,15,0.6818181818181818
Dno-Mir-130-P3b,23,3,0.13043478260869565,20,0.8695652173913043,25,4,0.16,19,0.76
Cmi-Mir-133-P1-v2,22,4,0.18181818181818182,18,0.8181818181818182,22,5,0.22727272727272727,15,0.6818181818181818
Lch-Mir-155,24,3,0.125,21,0.875,22,1,0.045454545454545456,19,0.8636363636363636
Aca-Mir-145,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Bla-Novel-6-P3,23,4,0.17391304347826086,19,0.8260869565217391,22,2,0.09090909090909091,18,0.8181818181818182
Dre-Mir-129-P2a,21,4,0.19047619047619047,17,0.8095238095238095,22,5,0.22727272727272727,15,0.6818181818181818
Cli-Mir-124-P1-v1,22,3,0.13636363636363635,19,0.8636363636363636,22,5,0.22727272727272727,15,0.6818181818181818
Loc-Mir-8-P2a,22,2,0.09090909090909091,20,0.9090909090909091,23,2,0.08695652173913043,19,0.8260869565217391
Dya-Mir-252-P1b,24,6,0.25,18,0.75,22,5,0.22727272727272727,15,0.6818181818181818
Mmu-Mir-221-P1a,23,3,0.13043478260869565,20,0.8695652173913043,24,3,0.125,19,0.7916666666666666
Mmu-Mir-150,22,5,0.22727272727272727,17,0.7727272727272727,21,2,0.09523809523809523,17,0.8095238095238095
Sha-Mir-7398-o14,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Lgi-Mir-210,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Esc-Mir-29-P2,23,7,0.30434782608695654,16,0.6956521739130435,22,7,0.3181818181818182,13,0.5909090909090909
Lpo-Mir-1-P14,22,4,0.18181818181818182,18,0.8181818181818182,22,3,0.13636363636363635,17,0.7727272727272727
Bge-Mir-932,23,4,0.17391304347826086,19,0.8260869565217391,22,2,0.09090909090909091,18,0.8181818181818182
Cfa-Mir-376-P3,22,2,0.09090909090909091,20,0.9090909090909091,21,2,0.09523809523809523,17,0.8095238095238095
Cfa-Mir-154-P3b,23,9,0.391304347826087,14,0.6086956521739131,21,7,0.3333333333333333,12,0.5714285714285714
Loc-Mir-26-P1,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Bta-Mir-628,22,2,0.09090909090909091,20,0.9090909090909091,23,5,0.21739130434782608,16,0.6956521739130435
Lan-Mir-92-o82,24,5,0.20833333333333334,19,0.7916666666666666,22,3,0.13636363636363635,17,0.7727272727272727
Tca-Mir-3851-P8b,23,6,0.2608695652173913,17,0.7391304347826086,22,4,0.18181818181818182,16,0.7272727272727273
Sto-Mir-205-P2,22,5,0.22727272727272727,17,0.7727272727272727,22,5,0.22727272727272727,15,0.6818181818181818
Dya-Mir-252-P2-v1,23,6,0.2608695652173913,17,0.7391304347826086,23,6,0.2608695652173913,15,0.6521739130434783
Mml-Mir-370,22,7,0.3181818181818182,15,0.6818181818181818,22,6,0.2727272727272727,14,0.6363636363636364
Hsa-Mir-430-P39,22,2,0.09090909090909091,20,0.9090909090909091,23,2,0.08695652173913043,19,0.8260869565217391
Bge-Mir-9-o13,23,2,0.08695652173913043,21,0.9130434782608695,23,4,0.17391304347826086,17,0.7391304347826086
Mmu-Mir-199-P1-v3,22,4,0.18181818181818182,18,0.8181818181818182,21,3,0.14285714285714285,16,0.7619047619047619
Dya-Mir-29-P2g,23,4,0.17391304347826086,19,0.8260869565217391,21,1,0.047619047619047616,18,0.8571428571428571
Xbo-Novel-2,24,5,0.20833333333333334,19,0.7916666666666666,22,4,0.18181818181818182,16,0.7272727272727273
Sme-Mir-12-P9,22,3,0.13636363636363635,19,0.8636363636363636,22,4,0.18181818181818182,16,0.7272727272727273
Mdo-Mir-103-P4,23,4,0.17391304347826086,19,0.8260869565217391,23,3,0.13043478260869565,18,0.782608695652174
Oan-Mir-101-P1-v2,22,2,0.09090909090909091,20,0.9090909090909091,22,0,0.0,20,0.9090909090909091
Efe-Mir-184-o3,22,4,0.18181818181818182,18,0.8181818181818182,22,2,0.09090909090909091,18,0.8181818181818182
Ete-Mir-154-P32,22,4,0.18181818181818182,18,0.8181818181818182,22,4,0.18181818181818182,16,0.7272727272727273
Dno-Mir-29-P2b,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Cpi-Mir-17-P1a,23,6,0.2608695652173913,17,0.7391304347826086,23,5,0.21739130434782608,16,0.6956521739130435
Bfl-Mir-92-o3,23,5,0.21739130434782608,18,0.782608695652174,22,4,0.18181818181818182,16,0.7272727272727273
Npo-Mir-2-o24,22,2,0.09090909090909091,20,0.9090909090909091,23,2,0.08695652173913043,19,0.8260869565217391
Sto-Mir-8-P2a,22,2,0.09090909090909091,20,0.9090909090909091,23,2,0.08695652173913043,19,0.8260869565217391
Mal-Mir-722-P2-v1,22,3,0.13636363636363635,19,0.8636363636363636,22,2,0.09090909090909091,18,0.8181818181818182
Cpi-Mir-142-P2-v4,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Cpo-Mir-29-P1d-v2,24,4,0.16666666666666666,20,0.8333333333333334,23,2,0.08695652173913043,19,0.8260869565217391
Mmu-Mir-154-P3a-v1,21,6,0.2857142857142857,15,0.7142857142857143,21,5,0.23809523809523808,14,0.6666666666666666
Tca-Mir-10-P1-v1,22,2,0.09090909090909091,20,0.9090909090909091,23,4,0.17391304347826086,17,0.7391304347826086
Hsa-Mir-154-P10,22,4,0.18181818181818182,18,0.8181818181818182,22,4,0.18181818181818182,16,0.7272727272727273
Rno-Mir-28-P3,23,5,0.21739130434782608,18,0.782608695652174,23,3,0.13043478260869565,18,0.782608695652174
Efe-Let-7-P12,22,6,0.2727272727272727,16,0.7272727272727273,23,4,0.17391304347826086,17,0.7391304347826086
Mml-Mir-615,22,4,0.18181818181818182,18,0.8181818181818182,21,2,0.09523809523809523,17,0.8095238095238095
Loc-Let-7-P2c2,22,2,0.09090909090909091,20,0.9090909090909091,21,1,0.047619047619047616,18,0.8571428571428571
Spu-Mir-2006,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Tni-Mir-194-P2a,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Dsi-Mir-1000,22,5,0.22727272727272727,17,0.7727272727272727,22,5,0.22727272727272727,15,0.6818181818181818
Gga-Mir-23-P2,21,2,0.09523809523809523,19,0.9047619047619048,23,3,0.13043478260869565,18,0.782608695652174
Loc-Mir-204-P2,22,3,0.13636363636363635,19,0.8636363636363636,21,2,0.09523809523809523,17,0.8095238095238095
Cfa-Mir-2114,23,4,0.17391304347826086,19,0.8260869565217391,23,4,0.17391304347826086,17,0.7391304347826086
Mdo-Mir-34-P3b,21,6,0.2857142857142857,15,0.7142857142857143,21,2,0.09523809523809523,17,0.8095238095238095
Hsa-Mir-34-P3c,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Mmu-Mir-1943,23,5,0.21739130434782608,18,0.782608695652174,22,1,0.045454545454545456,19,0.8636363636363636
Mal-Mir-24-P4a,23,6,0.2608695652173913,17,0.7391304347826086,22,5,0.22727272727272727,15,0.6818181818181818
Cfa-Mir-194-P1,22,3,0.13636363636363635,19,0.8636363636363636,22,3,0.13636363636363635,17,0.7727272727272727
Tca-Mir-3822,24,5,0.20833333333333334,19,0.7916666666666666,23,4,0.17391304347826086,17,0.7391304347826086
Dpu-Mir-22-P2,23,5,0.21739130434782608,18,0.782608695652174,23,6,0.2608695652173913,15,0.6521739130434783
Ebu-Mir-10-P2f,22,4,0.18181818181818182,18,0.8181818181818182,22,5,0.22727272727272727,15,0.6818181818181818
Cgi-Mir-184-P15r,23,3,0.13043478260869565,20,0.8695652173913043,22,2,0.09090909090909091,18,0.8181818181818182
Tca-Mir-11617-P6a,21,3,0.14285714285714285,18,0.8571428571428571,21,3,0.14285714285714285,16,0.7619047619047619
Bta-Mir-217-v2,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Dme-Mir-9-P13,23,5,0.21739130434782608,18,0.782608695652174,22,6,0.2727272727272727,14,0.6363636363636364
Oan-Mir-430-P57,21,3,0.14285714285714285,18,0.8571428571428571,22,4,0.18181818181818182,16,0.7272727272727273
Sme-Mir-10-P3s,22,4,0.18181818181818182,18,0.8181818181818182,22,5,0.22727272727272727,15,0.6818181818181818
Cin-Mir-4061,23,7,0.30434782608695654,16,0.6956521739130435,25,10,0.4,13,0.52
Xla-Mir-192-P1b,22,3,0.13636363636363635,19,0.8636363636363636,23,4,0.17391304347826086,17,0.7391304347826086
Cpi-Mir-456,22,7,0.3181818181818182,15,0.6818181818181818,21,3,0.14285714285714285,16,0.7619047619047619
Cli-Mir-204-P4,22,5,0.22727272727272727,17,0.7727272727272727,21,3,0.14285714285714285,16,0.7619047619047619
Cgi-Mir-76,23,2,0.08695652173913043,21,0.9130434782608695,23,3,0.13043478260869565,18,0.782608695652174
Mml-Mir-320-P1,22,3,0.13636363636363635,19,0.8636363636363636,22,3,0.13636363636363635,17,0.7727272727272727
Aca-Mir-126-P2-v2,21,4,0.19047619047619047,17,0.8095238095238095,21,2,0.09523809523809523,17,0.8095238095238095
Dre-Mir-181-P1c1,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Ami-Mir-10-P1b-v2,22,3,0.13636363636363635,19,0.8636363636363636,21,2,0.09523809523809523,17,0.8095238095238095
Cgi-Mir-7,24,3,0.125,21,0.875,23,2,0.08695652173913043,19,0.8260869565217391
Sha-Mir-137-P1-v1,21,4,0.19047619047619047,17,0.8095238095238095,23,4,0.17391304347826086,17,0.7391304347826086
Rno-Mir-26-P2,22,5,0.22727272727272727,17,0.7727272727272727,22,2,0.09090909090909091,18,0.8181818181818182
Cpi-Mir-1677-o8,22,3,0.13636363636363635,19,0.8636363636363636,22,3,0.13636363636363635,17,0.7727272727272727
Bta-Mir-450-P3,23,5,0.21739130434782608,18,0.782608695652174,22,6,0.2727272727272727,14,0.6363636363636364
Hvu-Novel-3-v1,21,2,0.09523809523809523,19,0.9047619047619048,21,2,0.09523809523809523,17,0.8095238095238095
Xtr-Mir-430-o5a14,21,3,0.14285714285714285,18,0.8571428571428571,23,4,0.17391304347826086,17,0.7391304347826086
Cli-Mir-101-P2-v1,23,3,0.13043478260869565,20,0.8695652173913043,22,1,0.045454545454545456,19,0.8636363636363636
Cte-Mir-10-P2,22,4,0.18181818181818182,18,0.8181818181818182,22,5,0.22727272727272727,15,0.6818181818181818
Mmu-Mir-506-P21,23,5,0.21739130434782608,18,0.782608695652174,21,5,0.23809523809523808,14,0.6666666666666666
Cgi-Mir-22-P1,23,4,0.17391304347826086,19,0.8260869565217391,23,3,0.13043478260869565,18,0.782608695652174
Ebu-Mir-130-P1e,22,4,0.18181818181818182,18,0.8181818181818182,23,1,0.043478260869565216,20,0.8695652173913043
Mmu-Mir-431,21,5,0.23809523809523808,16,0.7619047619047619,21,5,0.23809523809523808,14,0.6666666666666666
Cpo-Mir-499,22,4,0.18181818181818182,18,0.8181818181818182,22,3,0.13636363636363635,17,0.7727272727272727
Esc-Novel-69,21,3,0.14285714285714285,18,0.8571428571428571,21,2,0.09523809523809523,17,0.8095238095238095
Dsi-Mir-303,22,2,0.09090909090909091,20,0.9090909090909091,23,4,0.17391304347826086,17,0.7391304347826086
Bta-Mir-489-v1,22,6,0.2727272727272727,16,0.7272727272727273,22,4,0.18181818181818182,16,0.7272727272727273
Bta-Mir-154-P17,22,8,0.36363636363636365,14,0.6363636363636364,22,7,0.3181818181818182,13,0.5909090909090909
Loc-Let-7-P2a3,22,3,0.13636363636363635,19,0.8636363636363636,21,4,0.19047619047619047,15,0.7142857142857143
Ami-Mir-10-P1d-v2,23,5,0.21739130434782608,18,0.782608695652174,22,3,0.13636363636363635,17,0.7727272727272727
Dya-Mir-3-P3,22,4,0.18181818181818182,18,0.8181818181818182,22,3,0.13636363636363635,17,0.7727272727272727
Lpo-Mir-137-P20,22,4,0.18181818181818182,18,0.8181818181818182,21,3,0.14285714285714285,16,0.7619047619047619
Gga-Mir-12246,22,6,0.2727272727272727,16,0.7272727272727273,22,6,0.2727272727272727,14,0.6363636363636364
Ovu-Mir-2-o24,22,2,0.09090909090909091,20,0.9090909090909091,23,2,0.08695652173913043,19,0.8260869565217391
Gga-Mir-9-P2,23,2,0.08695652173913043,21,0.9130434782608695,23,3,0.13043478260869565,18,0.782608695652174
Mml-Mir-21,24,3,0.125,21,0.875,22,3,0.13636363636363635,17,0.7727272727272727
Mml-Mir-154-P17,22,8,0.36363636363636365,14,0.6363636363636364,22,7,0.3181818181818182,13,0.5909090909090909
Cel-Mir-59,22,3,0.13636363636363635,19,0.8636363636363636,23,3,0.13043478260869565,18,0.782608695652174
Tni-Mir-216-P2a,22,6,0.2727272727272727,16,0.7272727272727273,22,7,0.3181818181818182,13,0.5909090909090909
Xla-Novel-13-P1,22,4,0.18181818181818182,18,0.8181818181818182,23,5,0.21739130434782608,16,0.6956521739130435
Pbv-Mir-1329,23,7,0.30434782608695654,16,0.6956521739130435,22,5,0.22727272727272727,15,0.6818181818181818
Pma-Mir-23-o2,22,2,0.09090909090909091,20,0.9090909090909091,23,4,0.17391304347826086,17,0.7391304347826086
Sha-Mir-17-P2a,23,6,0.2608695652173913,17,0.7391304347826086,24,6,0.25,16,0.6666666666666666
Rno-Mir-29-P2b,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Pbv-Mir-124-P3-v1,22,3,0.13636363636363635,19,0.8636363636363636,22,5,0.22727272727272727,15,0.6818181818181818
Sto-Mir-15-P2d,22,1,0.045454545454545456,21,0.9545454545454546,23,3,0.13043478260869565,18,0.782608695652174
Sha-Mir-10-P2b,22,6,0.2727272727272727,16,0.7272727272727273,22,5,0.22727272727272727,15,0.6818181818181818
Aae-Mir-2-P5a,23,7,0.30434782608695654,16,0.6956521739130435,23,7,0.30434782608695654,14,0.6086956521739131
Sto-Mir-30-P1d3,24,4,0.16666666666666666,20,0.8333333333333334,22,0,0.0,20,0.9090909090909091
Ete-Mir-1249,25,6,0.24,19,0.76,22,3,0.13636363636363635,17,0.7727272727272727
Oan-Mir-10-P1c-v1,22,3,0.13636363636363635,19,0.8636363636363636,21,2,0.09523809523809523,17,0.8095238095238095
Loc-Let-7-P1d,22,3,0.13636363636363635,19,0.8636363636363636,22,4,0.18181818181818182,16,0.7272727272727273
Esc-Novel-24-v2,23,4,0.17391304347826086,19,0.8260869565217391,23,3,0.13043478260869565,18,0.782608695652174
Tca-Mir-11618-P3a,23,4,0.17391304347826086,19,0.8260869565217391,22,4,0.18181818181818182,16,0.7272727272727273
Cli-Mir-338-P1,25,6,0.24,19,0.76,23,3,0.13043478260869565,18,0.782608695652174
Mdo-Mir-7371-P11c,23,6,0.2608695652173913,17,0.7391304347826086,21,4,0.19047619047619047,15,0.7142857142857143
Dre-Mir-199-P2b-v2,24,3,0.125,21,0.875,23,3,0.13043478260869565,18,0.782608695652174
Loc-Mir-1-P1,23,3,0.13043478260869565,20,0.8695652173913043,22,1,0.045454545454545456,19,0.8636363636363636
Gmo-Mir-142-P1-v3,23,5,0.21739130434782608,18,0.782608695652174,23,1,0.043478260869565216,20,0.8695652173913043
Hsa-Mir-504-v1,22,3,0.13636363636363635,19,0.8636363636363636,22,1,0.045454545454545456,19,0.8636363636363636
Sha-Mir-7371-o4-v1,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Hsa-Mir-17-P4a,23,2,0.08695652173913043,21,0.9130434782608695,23,2,0.08695652173913043,19,0.8260869565217391
Dre-Mir-218-P4-v1,22,4,0.18181818181818182,18,0.8181818181818182,22,3,0.13636363636363635,17,0.7727272727272727
Mal-Mir-205-P1-v1,21,4,0.19047619047619047,17,0.8095238095238095,22,4,0.18181818181818182,16,0.7272727272727273
Ocu-Mir-7-P4,24,7,0.2916666666666667,17,0.7083333333333334,22,5,0.22727272727272727,15,0.6818181818181818
Ebu-Mir-1-P5,23,5,0.21739130434782608,18,0.782608695652174,22,2,0.09090909090909091,18,0.8181818181818182
Pbv-Mir-219-P3,23,4,0.17391304347826086,19,0.8260869565217391,22,2,0.09090909090909091,18,0.8181818181818182
Cpo-Mir-181-P1b,23,4,0.17391304347826086,19,0.8260869565217391,22,2,0.09090909090909091,18,0.8181818181818182
Tni-Mir-24-P4b,24,7,0.2916666666666667,17,0.7083333333333334,22,4,0.18181818181818182,16,0.7272727272727273
Ovu-Mir-2-o21,23,3,0.13043478260869565,20,0.8695652173913043,24,3,0.125,19,0.7916666666666666
Bta-Mir-95-P3-v1,23,6,0.2608695652173913,17,0.7391304347826086,23,6,0.2608695652173913,15,0.6521739130434783
Spt-Mir-26-P4,22,2,0.09090909090909091,20,0.9090909090909091,22,3,0.13636363636363635,17,0.7727272727272727
Dme-Mir-87-P2-v1,23,4,0.17391304347826086,19,0.8260869565217391,24,6,0.25,16,0.6666666666666666
Pma-Mir-8-P1o2,22,4,0.18181818181818182,18,0.8181818181818182,23,4,0.17391304347826086,17,0.7391304347826086
Ocu-Mir-628,23,3,0.13043478260869565,20,0.8695652173913043,23,6,0.2608695652173913,15,0.6521739130434783
Tni-Mir-33-P1b,21,9,0.42857142857142855,12,0.5714285714285714,21,8,0.38095238095238093,11,0.5238095238095238
Cpi-Mir-875,22,8,0.36363636363636365,14,0.6363636363636364,22,8,0.36363636363636365,12,0.5454545454545454
Loc-Mir-725,22,5,0.22727272727272727,17,0.7727272727272727,22,4,0.18181818181818182,16,0.7272727272727273
Esc-Novel-21,22,4,0.18181818181818182,18,0.8181818181818182,22,3,0.13636363636363635,17,0.7727272727272727
Gmo-Let-7-P1d1,22,3,0.13636363636363635,19,0.8636363636363636,22,4,0.18181818181818182,16,0.7272727272727273
Dan-Mir-279-P3,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Dre-Mir-135-P4a,23,4,0.17391304347826086,19,0.8260869565217391,22,4,0.18181818181818182,16,0.7272727272727273
Ovu-Novel-64-v2,21,5,0.23809523809523808,16,0.7619047619047619,21,4,0.19047619047619047,15,0.7142857142857143
Hme-Mir-22-P2,23,5,0.21739130434782608,18,0.782608695652174,23,4,0.17391304347826086,17,0.7391304347826086
Cmi-Mir-126-P2-v1,22,5,0.22727272727272727,17,0.7727272727272727,22,2,0.09090909090909091,18,0.8181818181818182
Bta-Mir-154-P4b,24,6,0.25,18,0.75,22,3,0.13636363636363635,17,0.7727272727272727
Gja-Mir-456,22,7,0.3181818181818182,15,0.6818181818181818,21,3,0.14285714285714285,16,0.7619047619047619
Oan-Mir-203-v1,23,3,0.13043478260869565,20,0.8695652173913043,22,3,0.13636363636363635,17,0.7727272727272727
Ami-Mir-9599,23,5,0.21739130434782608,18,0.782608695652174,22,6,0.2727272727272727,14,0.6363636363636364
Dsi-Mir-9-P10,23,4,0.17391304347826086,19,0.8260869565217391,23,5,0.21739130434782608,16,0.6956521739130435
Rno-Mir-27-P3,22,4,0.18181818181818182,18,0.8181818181818182,21,7,0.3333333333333333,12,0.5714285714285714
Dan-Mir-965,23,5,0.21739130434782608,18,0.782608695652174,22,3,0.13636363636363635,17,0.7727272727272727
Xla-Mir-430-P3b,23,6,0.2608695652173913,17,0.7391304347826086,23,2,0.08695652173913043,19,0.8260869565217391
Ocu-Mir-1296,22,6,0.2727272727272727,16,0.7272727272727273,21,4,0.19047619047619047,15,0.7142857142857143
Ete-Mir-10-P2b,22,6,0.2727272727272727,16,0.7272727272727273,22,4,0.18181818181818182,16,0.7272727272727273
Mmu-Mir-1306,22,8,0.36363636363636365,14,0.6363636363636364,22,6,0.2727272727272727,14,0.6363636363636364
Asu-Mir-133,24,6,0.25,18,0.75,22,4,0.18181818181818182,16,0.7272727272727273
Ocu-Mir-8-P2a,22,4,0.18181818181818182,18,0.8181818181818182,23,4,0.17391304347826086,17,0.7391304347826086
Mml-Mir-146-P1,24,6,0.25,18,0.75,22,2,0.09090909090909091,18,0.8181818181818182
Sto-Mir-199-P2-v2,24,3,0.125,21,0.875,23,3,0.13043478260869565,18,0.782608695652174
Cmi-Mir-10-P1c-v2,23,4,0.17391304347826086,19,0.8260869565217391,22,2,0.09090909090909091,18,0.8181818181818182
Aae-Mir-1891-P1-v2,23,6,0.2608695652173913,17,0.7391304347826086,23,5,0.21739130434782608,16,0.6956521739130435
Xla-Let-7-P1b3,22,2,0.09090909090909091,20,0.9090909090909091,22,3,0.13636363636363635,17,0.7727272727272727
Pma-Mir-203-o1,23,5,0.21739130434782608,18,0.782608695652174,22,4,0.18181818181818182,16,0.7272727272727273
Ami-Mir-199-P2-v3,22,3,0.13636363636363635,19,0.8636363636363636,21,2,0.09523809523809523,17,0.8095238095238095
Gmo-Mir-7-P1a,23,5,0.21739130434782608,18,0.782608695652174,22,4,0.18181818181818182,16,0.7272727272727273
Cfa-Novel-3,22,2,0.09090909090909091,20,0.9090909090909091,22,1,0.045454545454545456,19,0.8636363636363636
Xla-Mir-24-P3d,24,7,0.2916666666666667,17,0.7083333333333334,22,2,0.09090909090909091,18,0.8181818181818182
Ovu-Novel-62-P2,24,7,0.2916666666666667,17,0.7083333333333334,22,4,0.18181818181818182,16,0.7272727272727273
Sme-Mir-2170,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Bla-Novel-6-P4,22,4,0.18181818181818182,18,0.8181818181818182,21,2,0.09523809523809523,17,0.8095238095238095
Cpo-Mir-188-P2,22,8,0.36363636363636365,14,0.6363636363636364,22,4,0.18181818181818182,16,0.7272727272727273
Dme-Mir-279-P3,22,2,0.09090909090909091,20,0.9090909090909091,22,2,0.09090909090909091,18,0.8181818181818182
Pfl-Mir-210-P7a,23,5,0.21739130434782608,18,0.782608695652174,22,4,0.18181818181818182,16,0.7272727272727273
