,5p_length,5p_bulges,5p_bulges_len,5p_basepair,5p_basepair_len
Aae-Mir-1891-P2-v2,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-190,24,18,0.75,6,0.75
Aae-Mir-193-P1,22,22,1.0,0,1.0
Aae-Mir-2-P1-v1,23,23,1.0,0,1.0
Aae-Mir-2-P1-v2,21,21,1.0,0,1.0
Aae-Mir-2-P2,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-2-P3,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-2-P4-v1,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-2-P4-v2,21,18,0.8571428571428571,3,0.8571428571428571
Aae-Mir-2-P5a,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-2-P5b,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-2-P7,24,20,0.8333333333333334,4,0.8333333333333334
Aae-Mir-2-P8,25,23,0.92,2,0.92
Aae-Mir-210-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-210-v2,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-216-P1,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-216-P2,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-219,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-22-P2,24,18,0.75,6,0.75
Aae-Mir-252-P2,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-275,23,19,0.8260869565217391,4,0.8260869565217391
Aae-Mir-276-P1,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-276-P2,21,17,0.8095238095238095,4,0.8095238095238095
Aae-Mir-2765,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-277,21,20,0.9523809523809523,1,0.9523809523809523
Aae-Mir-278,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-279-P1,22,21,0.9545454545454546,1,0.9545454545454546
Aae-Mir-279-P2a,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-279-P2b1,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-279-P2b2,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-279-P3,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-279-o26,24,18,0.75,6,0.75
Aae-Mir-2796,23,20,0.8695652173913043,3,0.8695652173913043
Aae-Mir-281,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-282-P1,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-282-P2,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-29-P1,23,19,0.8260869565217391,4,0.8260869565217391
Aae-Mir-29-P2h,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-2940,23,20,0.8695652173913043,3,0.8695652173913043
Aae-Mir-2941-P1,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-2941-P2,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-3-P2a1,23,19,0.8260869565217391,4,0.8260869565217391
Aae-Mir-3-P2a2,23,19,0.8260869565217391,4,0.8260869565217391
Aae-Mir-3-P2b,23,21,0.9130434782608695,2,0.9130434782608695
Aae-Mir-305,24,20,0.8333333333333334,4,0.8333333333333334
Aae-Mir-306,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-31,24,17,0.7083333333333334,7,0.7083333333333334
Aae-Mir-315,23,21,0.9130434782608695,2,0.9130434782608695
Aae-Mir-316,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-317-P8,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-317-P9,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-33,21,17,0.8095238095238095,4,0.8095238095238095
Aae-Mir-34,24,17,0.7083333333333334,7,0.7083333333333334
Aae-Mir-375,24,19,0.7916666666666666,5,0.7916666666666666
Aae-Mir-67-v1,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-67-v2,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-7,24,17,0.7083333333333334,7,0.7083333333333334
Aae-Mir-71,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-750,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-76,22,20,0.9090909090909091,2,0.9090909090909091
Aae-Mir-8,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-87-P2,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-9-P10a,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-9-P10b,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-9-P11,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-9-P12-v1,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-9-P12-v2,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-9-P13,24,17,0.7083333333333334,7,0.7083333333333334
Aae-Mir-92-o54,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-92-o55,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-927-P1,22,22,1.0,0,1.0
Aae-Mir-927-P2,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-929-P1,21,17,0.8095238095238095,4,0.8095238095238095
Aae-Mir-929-P2,21,17,0.8095238095238095,4,0.8095238095238095
Aae-Mir-932,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-957,23,23,1.0,0,1.0
Aae-Mir-96-P2,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-96-P3,24,18,0.75,6,0.75
Aae-Mir-965,24,20,0.8333333333333334,4,0.8333333333333334
Aae-Mir-970,24,19,0.7916666666666666,5,0.7916666666666666
Aae-Mir-971,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-988,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-989,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-999,23,23,1.0,0,1.0
Aca-Let-7-P1b,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Let-7-P1c,22,22,1.0,0,1.0
Aca-Let-7-P1d,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Let-7-P2a1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Let-7-P2a2,22,22,1.0,0,1.0
Aca-Let-7-P2a3,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Let-7-P2a4,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Let-7-P2b1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Let-7-P2b2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Let-7-P2b3,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Let-7-P2b4,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Let-7-P2c1,22,22,1.0,0,1.0
Aca-Let-7-P2c2,22,22,1.0,0,1.0
Aca-Let-7-P2c3,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-1-P1,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-1-P2,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-1-P3,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-1-P4,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-10-P1b-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P1b-v2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P1c-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P1c-v2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-10-P1d-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P1d-v2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P2b,22,20,0.9090909090909091,2,0.9090909090909091
Aca-Mir-10-P2c,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P2d,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P3b,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-10-P3c,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-10-P3d,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-101-P1-v1,22,21,0.9545454545454546,1,0.9545454545454546
Aca-Mir-101-P1-v2,22,21,0.9545454545454546,1,0.9545454545454546
Aca-Mir-101-P2-v1,23,21,0.9130434782608695,2,0.9130434782608695
Aca-Mir-101-P2-v2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-103-P1,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-103-P2,23,22,0.9565217391304348,1,0.9565217391304348
Aca-Mir-103-P4,23,22,0.9565217391304348,1,0.9565217391304348
Aca-Mir-122,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-124-P1-v1,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-124-P1-v2,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-124-P2-v1,22,21,0.9545454545454546,1,0.9545454545454546
Aca-Mir-124-P2-v2,23,21,0.9130434782608695,2,0.9130434782608695
Aca-Mir-124-P3-v1,22,21,0.9545454545454546,1,0.9545454545454546
Aca-Mir-124-P3-v2,23,21,0.9130434782608695,2,0.9130434782608695
Aca-Mir-124-P4-v1,22,22,1.0,0,1.0
Aca-Mir-124-P4-v2,23,23,1.0,0,1.0
Aca-Mir-126-P2-v1,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-126-P2-v2,21,18,0.8571428571428571,3,0.8571428571428571
Aca-Mir-126-P2-v3,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-128-P1,23,23,1.0,0,1.0
Aca-Mir-128-P2,23,21,0.9130434782608695,2,0.9130434782608695
Aca-Mir-129-P2,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-129-P4,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-130-P1a,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-130-P1b,22,22,1.0,0,1.0
Aca-Mir-130-P1c,22,20,0.9090909090909091,2,0.9090909090909091
Aca-Mir-130-P2a,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-130-P2b,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-130-P3a,23,23,1.0,0,1.0
Aca-Mir-130-P4a,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-1306,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-132-P1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-132-P2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-1329-v1,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-1329-v2,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-133-P1-v1,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-133-P1-v2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-133-P2-v1,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-133-P2-v2,21,19,0.9047619047619048,2,0.9047619047619048
Aca-Mir-133-P3-v1,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-133-P3-v2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-133-P4-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-133-P4-v2,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-135-P1,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-135-P2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-135-P4,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-137-P1-v1,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-137-P1-v2,24,18,0.75,6,0.75
Aca-Mir-137-P3-v1,24,24,1.0,0,1.0
Aca-Mir-137-P3-v2,24,24,1.0,0,1.0
Aca-Mir-138-P1,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-138-P2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-1388,22,21,0.9545454545454546,1,0.9545454545454546
Aca-Mir-139,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-1397,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-140-P1-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-140-P1-v2,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-142-P2-v1,21,18,0.8571428571428571,3,0.8571428571428571
Aca-Mir-142-P2-v2,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-142-P2-v3,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-142-P2-v4,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-143,21,21,1.0,0,1.0
Aca-Mir-144-v1,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-144-v2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-145,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-146-P1,24,18,0.75,6,0.75
Aca-Mir-146-P2,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-147-v1,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-147-v2,22,20,0.9090909090909091,2,0.9090909090909091
Aca-Mir-148-P1,22,22,1.0,0,1.0
Aca-Mir-148-P4,24,18,0.75,6,0.75
Aca-Mir-15-P1b,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-15-P1c,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-15-P2b,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-15-P2c,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-15-P2d,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-150,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-153-P1,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-153-P2,21,18,0.8571428571428571,3,0.8571428571428571
Aca-Mir-155,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-1662,22,21,0.9545454545454546,1,0.9545454545454546
Aca-Mir-1677-P7,22,22,1.0,0,1.0
Aca-Mir-1677-o1,21,18,0.8571428571428571,3,0.8571428571428571
Aca-Mir-17-P1a,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-17-P1c,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-17-P2a,23,23,1.0,0,1.0
Aca-Mir-17-P2c,23,23,1.0,0,1.0
Aca-Mir-17-P4a,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-17-P4c,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-1720,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-1788,22,22,1.0,0,1.0
Aca-Mir-1805,21,21,1.0,0,1.0
Aca-Mir-181-P1a,23,23,1.0,0,1.0
Aca-Mir-181-P1b,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-181-P1c,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-181-P2a,25,19,0.76,6,0.76
Aca-Mir-181-P2b,24,18,0.75,6,0.75
Aca-Mir-181-P2c,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-184,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-187,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-19-P1a,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-19-P2a,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-19-P2c,24,20,0.8333333333333334,4,0.8333333333333334
Aca-Mir-190-P1,24,19,0.7916666666666666,5,0.7916666666666666
Aca-Mir-190-P3,22,22,1.0,0,1.0
Aca-Mir-191,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-192-P1,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-193-P1b,22,22,1.0,0,1.0
Aca-Mir-193-P2b,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-194-P1,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-194-P2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-196-P1,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-196-P3,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-196-P4,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-199-P1-v1,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-199-P1-v2,24,20,0.8333333333333334,4,0.8333333333333334
Aca-Mir-199-P1-v3,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-199-P2-v1,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-199-P2-v2,24,18,0.75,6,0.75
Aca-Mir-199-P2-v3,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-199-P3-v1,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-199-P3-v2,24,20,0.8333333333333334,4,0.8333333333333334
Aca-Mir-199-P3-v3,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-202,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-203-v1,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-203-v2,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-204-P1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-204-P2,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-205-P2,22,22,1.0,0,1.0
Aca-Mir-205-P4,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-208-P2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-21,24,20,0.8333333333333334,4,0.8333333333333334
Aca-Mir-210,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-214-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-214-v2,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-216-P2a,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-216-P2b,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-217-v1,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-217-v2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-218-P2,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-218-P4,21,18,0.8571428571428571,3,0.8571428571428571
Aca-Mir-2188,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-219-P2,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-219-P3,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-22-P1b,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-221-P1a,23,22,0.9565217391304348,1,0.9565217391304348
Aca-Mir-221-P1b,23,23,1.0,0,1.0
Aca-Mir-221-P2a,23,22,0.9565217391304348,1,0.9565217391304348
Aca-Mir-223,23,23,1.0,0,1.0
Aca-Mir-23-P2,21,20,0.9523809523809523,1,0.9523809523809523
Aca-Mir-23-P3,22,22,1.0,0,1.0
Aca-Mir-24-P2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-24-P3,24,19,0.7916666666666666,5,0.7916666666666666
Aca-Mir-26-P1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-26-P2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-26-P4,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-27-P2,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-27-P3,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-29-P1b-v1,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-29-P1b-v2,24,18,0.75,6,0.75
Aca-Mir-29-P1d-v1,24,18,0.75,6,0.75
Aca-Mir-29-P1d-v2,24,18,0.75,6,0.75
Aca-Mir-29-P2b,23,23,1.0,0,1.0
Aca-Mir-29-P2d,23,19,0.8260869565217391,4,0.8260869565217391
Aca-Mir-2970,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-30-P1a,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-30-P1b,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-30-P1d,24,24,1.0,0,1.0
Aca-Mir-30-P2a,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-30-P2b,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-30-P2d,24,18,0.75,6,0.75
Aca-Mir-31,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-32,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-33-P1,21,21,1.0,0,1.0
Aca-Mir-33-P3,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-338-P2,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-34-P1,23,23,1.0,0,1.0
Aca-Mir-34-P2a,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-34-P2b,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-34-P3a,25,20,0.8,5,0.8
Aca-Mir-34-P3c,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-34-P3d,24,22,0.9166666666666666,2,0.9166666666666666
Aca-Mir-375,24,18,0.75,6,0.75
Aca-Mir-383-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-383-v2,23,17,0.7391304347826086,6,0.7391304347826086
Aca-Mir-425,25,19,0.76,6,0.76
Aca-Mir-430-P1,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-430-P3,23,21,0.9130434782608695,2,0.9130434782608695
Aca-Mir-455,22,20,0.9090909090909091,2,0.9090909090909091
Aca-Mir-456,22,22,1.0,0,1.0
Aca-Mir-458,22,22,1.0,0,1.0
Aca-Mir-460-P1,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-460-P2,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-489-v1,22,22,1.0,0,1.0
Aca-Mir-489-v2,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-490,20,17,0.85,3,0.85
Aca-Mir-499,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-5396-P1,21,19,0.9047619047619048,2,0.9047619047619048
Aca-Mir-5396-P2,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-5397,25,18,0.72,7,0.72
Aca-Mir-5399,25,18,0.72,7,0.72
Aca-Mir-5402,22,22,1.0,0,1.0
Aca-Mir-5405,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-5406,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-5407,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-5408,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-5412,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-5417,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-5426,22,22,1.0,0,1.0
Aca-Mir-5435,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-5436,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-5452,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-551-P2,23,22,0.9565217391304348,1,0.9565217391304348
Aca-Mir-7-P1,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-7-P2,24,17,0.7083333333333334,7,0.7083333333333334
Aca-Mir-7-P4,24,18,0.75,6,0.75
Aca-Mir-726,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-727-v1,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-727-v2,22,19,0.8636363636363636,3,0.8636363636363636
Aca-Mir-737,22,18,0.8181818181818182,4,0.8181818181818182
Aca-Mir-8-P1a,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-8-P2a,21,21,1.0,0,1.0
Aca-Mir-8-P3a,21,17,0.8095238095238095,4,0.8095238095238095
Aca-Mir-875,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-9-P1,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-9-P2,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-9-P4,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-92-P1a,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-92-P1c,23,20,0.8695652173913043,3,0.8695652173913043
Aca-Mir-92-P2a,22,20,0.9090909090909091,2,0.9090909090909091
Aca-Mir-92-P2c,23,18,0.782608695652174,5,0.782608695652174
Aca-Mir-9572,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-9573,22,17,0.7727272727272727,5,0.7727272727272727
Aca-Mir-9574,22,20,0.9090909090909091,2,0.9090909090909091
Aca-Mir-9576,22,20,0.9090909090909091,2,0.9090909090909091
Aca-Mir-96-P2,24,20,0.8333333333333334,4,0.8333333333333334
Ami-Let-7-P1b,22,18,0.8181818181818182,4,0.8181818181818182
Ami-Let-7-P1c,22,22,1.0,0,1.0
Ami-Let-7-P1d,22,19,0.8636363636363636,3,0.8636363636363636
Ami-Let-7-P2a1,22,17,0.7727272727272727,5,0.7727272727272727
Ami-Let-7-P2a2,22,22,1.0,0,1.0
Ami-Let-7-P2a3,22,17,0.7727272727272727,5,0.7727272727272727
Ami-Let-7-P2a4,22,17,0.7727272727272727,5,0.7727272727272727
Ami-Let-7-P2b1,22,17,0.7727272727272727,5,0.7727272727272727
Ami-Let-7-P2b2,22,17,0.7727272727272727,5,0.7727272727272727
Ami-Let-7-P2b3,22,19,0.8636363636363636,3,0.8636363636363636
Ami-Let-7-P2b4,22,17,0.7727272727272727,5,0.7727272727272727
Ami-Let-7-P2c1,22,22,1.0,0,1.0
Ami-Let-7-P2c2,22,22,1.0,0,1.0
