,G,Y,m
Mal-Mir-722-P2-v1,0,1,0
Cpi-Mir-142-P2-v4,0,0,0
Cpo-Mir-29-P1d-v2,0,1,0
Mmu-Mir-154-P3a-v1,1,1,0
Tca-Mir-10-P1-v1,0,1,0
Hsa-Mir-154-P10,1,0,0
Rno-Mir-28-P3,0,1,0
Efe-Let-7-P12,0,1,0
Mml-Mir-615,1,1,0
Loc-Let-7-P2c2,0,1,1
Spu-Mir-2006,0,0,0
Tni-Mir-194-P2a,0,1,0
Dsi-Mir-1000,0,1,0
Gga-Mir-23-P2,0,0,0
Loc-Mir-204-P2,1,0,0
Cfa-Mir-2114,0,0,0
Mdo-Mir-34-P3b,1,1,0
Hsa-Mir-34-P3c,0,1,0
Mmu-Mir-1943,1,1,0
Mal-Mir-24-P4a,0,1,0
Cfa-Mir-194-P1,0,1,0
Tca-Mir-3822,0,0,0
Dpu-Mir-22-P2,0,0,0
Ebu-Mir-10-P2f,0,1,0
Cgi-Mir-184-P15r,0,1,0
Tca-Mir-11617-P6a,0,1,0
Bta-Mir-217-v2,0,0,0
Dme-Mir-9-P13,0,1,0
Oan-Mir-430-P57,1,0,1
Sme-Mir-10-P3s,0,0,0
Cin-Mir-4061,0,0,0
Xla-Mir-192-P1b,1,1,0
Cpi-Mir-456,1,1,0
Cli-Mir-204-P4,1,0,0
Cgi-Mir-76,1,1,0
Mml-Mir-320-P1,1,0,0
Aca-Mir-126-P2-v2,0,1,0
Dre-Mir-181-P1c1,0,0,0
Ami-Mir-10-P1b-v2,0,1,0
Cgi-Mir-7,0,1,0
Sha-Mir-137-P1-v1,1,1,0
Rno-Mir-26-P2,1,1,0
Cpi-Mir-1677-o8,1,0,0
Bta-Mir-450-P3,0,0,0
Hvu-Novel-3-v1,0,1,0
Xtr-Mir-430-o5a14,1,0,1
Cli-Mir-101-P2-v1,1,1,0
Cte-Mir-10-P2,0,1,0
Mmu-Mir-506-P21,1,0,1
Cgi-Mir-22-P1,0,0,0
Ebu-Mir-130-P1e,1,1,0
Mmu-Mir-431,1,1,0
Cpo-Mir-499,1,0,0
Esc-Novel-69,1,0,0
Dsi-Mir-303,0,1,0
Bta-Mir-489-v1,0,0,0
Bta-Mir-154-P17,1,0,0
Loc-Let-7-P2a3,0,1,0
Ami-Mir-10-P1d-v2,0,0,0
Dya-Mir-3-P3,0,1,1
Lpo-Mir-137-P20,1,1,0
Gga-Mir-12246,0,1,1
Ovu-Mir-2-o24,0,1,0
Gga-Mir-9-P2,0,0,0
Mml-Mir-21,1,1,0
Mml-Mir-154-P17,1,0,0
Cel-Mir-59,0,1,0
Tni-Mir-216-P2a,0,0,0
Xla-Novel-13-P1,0,1,0
Pbv-Mir-1329,0,1,1
Pma-Mir-23-o2,0,0,0
Sha-Mir-17-P2a,0,0,0
Rno-Mir-29-P2b,0,1,0
Pbv-Mir-124-P3-v1,0,1,0
Sto-Mir-15-P2d,1,1,0
Sha-Mir-10-P2b,0,1,0
Aae-Mir-2-P5a,0,1,0
Sto-Mir-30-P1d3,1,1,0
Ete-Mir-1249,0,0,0
Oan-Mir-10-P1c-v1,0,0,0
Loc-Let-7-P1d,0,1,0
Esc-Novel-24-v2,0,0,0
Tca-Mir-11618-P3a,0,1,1
Cli-Mir-338-P1,0,1,0
Mdo-Mir-7371-P11c,0,0,0
Dre-Mir-199-P2b-v2,1,1,0
Loc-Mir-1-P1,0,1,0
Gmo-Mir-142-P1-v3,1,1,0
Hsa-Mir-504-v1,0,0,0
Sha-Mir-7371-o4-v1,0,1,0
Hsa-Mir-17-P4a,0,0,0
Dre-Mir-218-P4-v1,0,1,0
Mal-Mir-205-P1-v1,1,0,1
Ocu-Mir-7-P4,1,1,0
Ebu-Mir-1-P5,0,1,0
Pbv-Mir-219-P3,1,0,0
Cpo-Mir-181-P1b,0,0,0
Tni-Mir-24-P4b,0,1,0
Ovu-Mir-2-o21,0,1,1
Bta-Mir-95-P3-v1,0,1,0
Spt-Mir-26-P4,1,1,0
Dme-Mir-87-P2-v1,1,1,0
Pma-Mir-8-P1o2,0,1,0
Ocu-Mir-628,0,1,0
Tni-Mir-33-P1b,1,1,0
Cpi-Mir-875,0,1,0
Loc-Mir-725,0,1,0
Esc-Novel-21,1,0,0
Gmo-Let-7-P1d1,0,1,0
Dan-Mir-279-P3,1,1,0
Dre-Mir-135-P4a,0,0,0
Ovu-Novel-64-v2,0,1,0
Hme-Mir-22-P2,0,1,0
Cmi-Mir-126-P2-v1,0,1,0
Bta-Mir-154-P4b,0,0,0
Gja-Mir-456,1,1,0
Oan-Mir-203-v1,0,0,0
Ami-Mir-9599,1,1,0
Dsi-Mir-9-P10,0,0,0
Rno-Mir-27-P3,1,1,0
Dan-Mir-965,0,1,0
Xla-Mir-430-P3b,1,1,0
Ocu-Mir-1296,1,0,0
Ete-Mir-10-P2b,0,1,0
Mmu-Mir-1306,1,0,0
Asu-Mir-133,0,0,0
Ocu-Mir-8-P2a,0,1,0
Mml-Mir-146-P1,0,0,1
Sto-Mir-199-P2-v2,1,1,0
Cmi-Mir-10-P1c-v2,0,0,0
Aae-Mir-1891-P1-v2,0,0,0
Xla-Let-7-P1b3,0,1,0
Pma-Mir-203-o1,0,0,0
Ami-Mir-199-P2-v3,0,1,0
Gmo-Mir-7-P1a,0,1,0
Cfa-Novel-3,0,1,0
Xla-Mir-24-P3d,0,1,0
Ovu-Novel-62-P2,0,0,0
Sme-Mir-2170,0,0,1
Bla-Novel-6-P4,0,1,0
Cpo-Mir-188-P2,0,1,0
Dme-Mir-279-P3,1,1,0
Pfl-Mir-210-P7a,1,1,0
Cpo-Mir-126-P2-v3,0,1,1
Dsi-Mir-978-v2,0,0,0
Xla-Mir-130-P1a3,1,1,0
Sto-Mir-10-P1c-v2,0,1,0
Bta-Mir-17-P1d,0,1,1
Hsa-Mir-430-P23,1,0,0
Ete-Mir-3613,0,0,0
Cfa-Mir-28-P1,0,1,0
Gga-Mir-1677-P2,1,0,0
Efe-Mir-2686-o2,1,0,0
Aae-Mir-927-P2,0,0,0
Spt-Let-7-P2a1,0,1,0
Efe-Mir-216-P2,0,1,0
Pbv-Mir-30-P1b,1,1,0
Lpo-Bantam-P11,0,1,0
Sto-Mir-27-P3a,1,1,0
Rno-Mir-29-P1d5-v1,0,1,0
Bta-Mir-362-P2-v2,0,0,0
Hsa-Mir-181-P2c,0,1,0
Sko-Mir-4818-P2,1,1,0
Cpi-Mir-430-P1,1,1,0
Tni-Let-7-P2c2a,0,1,1
Efe-Mir-96-P2n,0,0,0
Sha-Mir-7373-o8c,0,1,0
Mmu-Mir-124-P3-v1,0,1,0
Efe-Mir-1997-P4,0,1,1
Cpi-Mir-135-P1,0,0,0
Ovu-Novel-20-P2,0,1,1
Mal-Mir-23-P1,0,0,0
Dya-Mir-315,1,1,0
Spt-Mir-96-P2,1,1,0
Cpi-Mir-135-P4,0,0,0
Xla-Mir-29-P1d3,0,1,0
Xla-Mir-34-P1b,1,1,0
Mmu-Mir-28-P3,0,1,0
Sko-Mir-4818-P7,0,0,0
Dno-Let-7-P2c3,0,1,0
Lpo-Mir-71-P7,0,1,0
Lpo-Mir-124-P21,0,1,1
Lpo-Mir-375-P10,0,1,0
Ami-Mir-489-v2,1,1,0
Pma-Mir-199-o3,0,0,0
Gmo-Mir-187,0,1,0
Xtr-Novel-4,1,1,0
Sha-Mir-7373-o9a,0,1,0
Hsa-Mir-15-P2d,1,1,0
Ete-Mir-138-P2,1,0,0
Loc-Mir-137-P3-v2,0,1,0
Pma-Mir-7-o2,1,1,0
Cfa-Mir-885,1,0,0
Gmo-Mir-1788,0,1,0
Oan-Mir-455,0,0,0
Cpi-Mir-217-v1,0,1,0
Ami-Mir-1-P2,0,1,0
Ocu-Mir-671,0,1,0
Sha-Mir-126-P2-v1,0,1,0
Tgu-Mir-1788,0,1,0
Xla-Mir-17-P2a4,0,0,0
Lpo-Let-7-P15,0,1,0
Asu-Mir-2-o10,0,1,0
Mal-Mir-140-P1-v2,0,1,0
Hsa-Mir-3944,0,1,0
Dno-Mir-935-v2,0,1,1
Loc-Mir-499,1,0,0
Hsa-Mir-199-P1-v2,1,1,0
Csc-Mir-29-P2,0,1,0
Tgu-Mir-1388,0,0,0
Cfa-Mir-199-P1-v1,0,0,0
Esc-Mir-2-o21,0,1,0
Ebu-Mir-133-P8-v2,0,1,0
Xla-Mir-30-P1b2,1,1,0
Pbv-Mir-96-P2,1,1,0
Loc-Mir-30-P2a,1,1,0
Bta-Mir-430-P2,1,1,0
Cmi-Mir-281-v1,0,1,0
Cfa-Mir-92-P2a,1,0,1
Cbr-Mir-2-o4,0,1,0
Tgu-Mir-204-P4,1,0,0
Xtr-Mir-15-P2a,0,1,0
Mun-Mir-92-P1a,1,1,0
Lch-Mir-33-P1,1,1,0
Mal-Mir-1388,0,0,0
Hme-Mir-33-P8,1,1,0
Aae-Mir-210-v1,0,1,0
Aca-Mir-192-P1,1,1,0
Mdo-Mir-92-P2c,0,0,1
Hsa-Mir-214-v2,1,1,0
Mmu-Mir-15-P1a,1,1,0
Mml-Mir-128-P2,0,1,0
Cpo-Mir-12084,1,1,0
Bfl-Mir-4886,1,1,0
Dre-Mir-375-P2,0,1,0
Dsi-Mir-279-P1,1,1,0
Cfa-Mir-17-P1a,0,0,0
Dno-Mir-142-P1-v3,1,1,0
Mdo-Mir-29-P1d-v1,0,1,0
Cmi-Mir-103-P4,0,0,0
Csc-Iab-4-P7,0,0,0
Ete-Mir-1298,0,1,0
Lch-Mir-7147,1,1,0
Rno-Mir-26-P1,1,1,0
Pma-Mir-194-o1,0,1,1
Dme-Mir-193-P1-v1,0,1,0
Lan-Mir-1993,1,1,0
Cbr-Mir-392,0,0,0
Dno-Mir-12087,0,1,0
Loc-Mir-199-P3-v1,0,0,0
Bfl-Mir-22-o1c,0,1,0
Sha-Mir-430-o23,0,1,0
Dre-Mir-10-P3c2,0,0,0
Mun-Mir-203-v1,0,0,0
Efe-Mir-193-P2d-v2,1,0,1
Mmu-Mir-3112,1,1,0
Loc-Mir-1788,0,1,0
Cpi-Mir-9588,1,0,0
Mun-Mir-30-P2b,1,1,0
Ocu-Mir-92-P2d,1,1,0
Cli-Mir-33-P3,1,1,0
Cli-Mir-148-P1-as,1,1,0
Cfa-Mir-493,1,1,0
Oan-Mir-26-P2,1,1,0
Cpi-Mir-204-P1,1,0,0
Mdo-Mir-15-P2c-v2,0,1,0
Tgu-Mir-199-P1-v2,1,1,0
Rno-Mir-430-P7c,1,0,1
Mmu-Mir-23-P2,0,0,0
Dsi-Mir-960,0,1,0
Cel-Mir-279-o9,0,1,0
Hsa-Mir-452-v1,0,1,0
Dma-Mir-317,1,1,0
Mmu-Mir-154-P20-v2,1,0,0
Pma-Mir-34-P3,0,1,0
Lch-Let-7-P2b4,0,1,0
Ami-Mir-193-P1b,0,0,1
Dno-Mir-1307,1,0,1
Dre-Mir-10-P1c1-v2,0,1,0
Lch-Mir-145,1,0,0
Dmo-Mir-2-P2b1,0,1,0
Cpo-Mir-378,0,0,0
Dre-Mir-146-P4-v2,0,1,0
Spt-Mir-15-P2b,0,1,0
Csc-Mir-34-P19a,0,0,0
Bta-Mir-29-P1b-v1,0,1,0
Hsa-Mir-506-P3,0,1,0
Lch-Mir-1-P4,0,1,0
Mml-Mir-8-P2b,0,1,0
Cel-Mir-1,0,1,0
Hme-Mir-2-P2d,0,1,1
Tni-Mir-218-P3,0,1,0
Loc-Mir-7-P2,0,1,0
Cel-Mir-2-o3,0,1,0
Mal-Mir-181-P1c1,0,0,0
Cte-Mir-67,0,1,0
Isc-Mir-137,1,1,0
Cfa-Mir-383-v1,1,1,0
Dme-Mir-276-P2,1,1,0
Mdo-Mir-1805,0,1,0
Cli-Mir-19-P2a,0,1,0
Cpi-Mir-1397,0,1,0
Ovu-Mir-277,1,1,0
Aae-Mir-2796,0,0,1
Ocu-Mir-126-P2-v2,0,1,0
Sha-Mir-7373-o8g,0,1,0
Sha-Mir-199-P3-v2,1,1,0
Mun-Mir-10-P2c,0,1,0
Efe-Mir-2691-P1,1,1,0
Xtr-Mir-430-o5d1,1,0,1
Cmi-Mir-92-P1a,1,1,0
Bta-Mir-541,1,1,0
Pbv-Mir-10-P3d,0,0,0
Dre-Mir-19-P2c,0,1,0
Cte-Mir-279-o13,0,1,0
Cbr-Mir-2001,1,0,0
Mdo-Mir-150,0,1,1
Mdo-Mir-30-P2a,1,1,0
Dno-Mir-362-P1,0,0,1
Xla-Mir-133-P1a-v1,0,1,0
Cfa-Mir-146-P4,1,0,0
Obi-Mir-1992,0,1,0
Bfl-Mir-4864,1,1,0
Cte-Mir-315,1,1,0
Gga-Mir-458-as,0,0,0
Efe-Mir-1986,1,1,0
Pmi-Mir-278,0,1,1
Efe-Mir-31,0,0,0
Bta-Mir-3432,1,1,1
Hsa-Mir-154-P29,1,1,0
Obi-Novel-19,0,1,0
Dsi-Mir-210-v1,0,1,0
Cte-Mir-2-o37,1,1,0
Spt-Let-7-P2b4,0,1,0
Dma-Mir-10-P1-v1,0,1,0
Xtr-Mir-430-o5a12,1,0,1
Bfl-Mir-210,0,1,0
Lch-Mir-8-P3a,0,1,0
Lch-Mir-27-P1,1,1,0
Mdo-Mir-430-P51,0,0,0
Ete-Mir-129-P1,1,0,0
Ebu-Mir-21,0,0,0
Dsi-Mir-2582-P1,0,1,0
Tgu-Mir-2965,1,1,0
Tgu-Mir-92-P2c,0,0,0
Hsa-Mir-154-P23,0,1,0
Tni-Mir-96-P3a,1,1,0
Ocu-Mir-8-P3a,0,1,0
Mdo-Mir-199-P3-v3,0,1,0
Cfa-Mir-433,1,0,0
Obi-Mir-1986,1,1,0
Cpo-Mir-21,1,1,0
Cli-Mir-1306,1,0,0
Mml-Mir-541,1,1,0
Ete-Mir-193-P2b,0,1,0
Efe-Novel-6,1,1,0
Gga-Mir-7-P1,0,1,0
Ocu-Mir-105-P1,0,1,0
Hsa-Mir-126-P2-v1,0,1,0
Dan-Iab-4-as,0,0,0
Csc-Mir-124-P26,0,1,0
Mdo-Mir-7360-P1a,0,0,0
Mal-Mir-199-P3-v1,0,0,0
Pbv-Mir-143,0,1,0
Mml-Mir-430-P35d,1,0,0
Oan-Mir-1421-P20,0,1,0
Tca-Mir-133,0,1,0
Dma-Mir-29-P2g,0,1,0
Cfa-Let-7-P2b1,0,1,0
Dre-Mir-8-P2a,0,1,0
Oan-Mir-29-P2b,0,1,0
Hsa-Mir-556,0,0,0
Bfl-Mir-103-P5,0,0,0
Pfl-Mir-22-P1,0,0,0
Xla-Mir-142-P1b1-v4,0,0,0
Ovu-Mir-36-P15,0,1,1
Csc-Mir-10-P4r,0,0,0
Aae-Mir-279-P2b1,1,1,0
Obi-Novel-83,0,0,0
Oan-Mir-217-v1,0,1,0
Lgi-Mir-33,1,1,0
Gga-Mir-1388,0,0,0
Xla-Novel-23,1,1,0
Cmi-Mir-124-P4,0,1,0
Cfa-Mir-506-P2e,1,0,1
Sko-Mir-71,0,1,0
Mun-Mir-425,0,1,0
Gmo-Mir-455-P1,0,0,0
Lpo-Mir-2-P1m,0,1,1
Rno-Mir-17-P1d,0,1,1
Dya-Mir-2001,0,1,0
Lgi-Mir-96-P3,0,0,0
Ete-Let-7-P2c3,0,1,0
Aca-Mir-92-P2a,1,0,1
Rno-Mir-136-v2,0,0,0
Ebu-Mir-1-P6a,1,1,0
Mml-Mir-30-P1b,1,1,0
Pbv-Mir-33-P3,1,1,0
Hsa-Mir-29-P1b-v2,0,1,0
Cpi-Mir-27-P2,1,1,0
Oan-Mir-184,0,1,0
Cfa-Mir-101-P1-v2,1,0,0
Cli-Mir-1-P1,0,1,0
Mal-Mir-190-P1a,0,0,0
Dre-Mir-430-o3a5,0,1,1
Ovu-Novel-15,1,0,1
Bge-Mir-3-P28a-v2,0,0,0
Xtr-Mir-430-o5l12,1,0,1
Aca-Mir-9574,0,1,1
Mdo-Mir-7398-P26,1,1,0
Ovu-Novel-6,0,0,0
Sto-Mir-92-P2c,0,0,0
Dme-Mir-964-v1,0,0,0
Gga-Mir-32,1,1,0
Gja-Let-7-P2c1,0,1,0
Cfa-Mir-19-P2c,0,1,0
Loc-Mir-146-P1,0,0,0
Cpi-Mir-34-P3a,0,1,0
Tgu-Mir-1-P2,0,1,0
Bta-Mir-154-P5,1,0,0
Tni-Mir-101-P2-v2,0,0,0
Aca-Mir-9576,1,0,1
Tca-Mir-3849,0,0,0
Mal-Let-7-P2b2b,0,1,0
Cbr-Mir-124-P11,0,1,0
Bta-Mir-11968-P1,0,0,0
Cfa-Mir-1251,1,1,0
Cfa-Mir-147-P1-v1,0,0,0
Sha-Mir-7373-o2,0,1,0
Ete-Mir-130-P4a,1,1,0
Pbv-Mir-124-P1-v2,0,1,0
Aca-Mir-10-P1b-v2,0,1,0
Hsa-Mir-103-P2,0,0,0
Dme-Mir-963-v2,0,0,0
Xla-Mir-92-P2c3,0,0,0
Cli-Mir-101-P1-v2,1,0,0
Cfa-Novel-13,0,0,0
Gmo-Mir-11223,0,1,0
Dno-Mir-338-P2,0,1,0
Dmo-Mir-281-P2-v2,0,1,0
Pbv-Mir-15-P2c,0,1,0
Ami-Mir-92-P1a,1,1,0
Spt-Mir-727,0,1,0
Mml-Mir-219-P2-as,0,0,0
Tgu-Mir-2970,0,1,0
Mml-Mir-15-P1c,0,1,0
Sha-Mir-7254-v2,0,0,0
Ami-Mir-144,0,1,0
Sto-Mir-191,1,0,0
Mun-Mir-193-P2a,0,1,1
Tni-Mir-199-P2a-v1,0,0,0
Gmo-Mir-460-P1,1,1,0
Loc-Mir-15-P1d,0,1,0
Mml-Mir-9-P3,0,0,0
Cte-Let-7,0,1,0
Mdo-Let-7-P2c1,0,1,0
Spu-Mir-137,1,1,0
Dre-Mir-425,0,1,1
Mdo-Mir-1544-P2b,0,0,0
Rno-Mir-208-P2,0,0,0
Cel-Mir-789-P2,1,1,0
Lan-Mir-92-o79a,0,0,0
Cbr-Mir-216-P2,1,1,1
Pfl-Mir-9-v2,0,1,0
Cfa-Mir-101-P2-v1,1,1,0
Pfl-Mir-2008,0,1,0
Bta-Mir-6715,1,1,0
Cpo-Mir-30-P1d,1,1,0
Cpo-Mir-1379,1,1,1
Dre-Mir-218-P2,0,1,0
Ami-Mir-9607,1,0,0
Cpo-Mir-383-v1,1,1,0
Rno-Mir-876,1,1,0
Tni-Mir-101-P1-v2,1,0,0
Mal-Mir-27-P1,1,1,0
Asu-Mir-31,0,0,0
Lch-Mir-218-P4,0,1,0
Mml-Mir-325,1,1,0
Bfl-Mir-96-P2k,1,0,0
Bta-Mir-126-P2-v3,0,1,1
Mml-Mir-142-P1-v1,1,1,0
Xtr-Mir-430-o5k8,1,0,1
Lgi-Mir-281-P8,0,1,0
Tgu-Mir-10-P1b-v1,0,0,0
Gja-Let-7-P2b1,0,1,0
Sme-Mir-2-o54,0,1,0
Cli-Mir-17-P1c,0,0,0
Aca-Mir-31,0,1,0
Xtr-Mir-135-P4,0,0,0
Tni-Mir-338-P2a,0,1,0
Cli-Mir-15-P1a,1,1,0
Dmo-Novel-14,0,0,0
Gmo-Mir-199-P2a-v3,0,1,0
Hsa-Mir-506-P29,0,1,0
Mdo-Mir-8-P1b,0,1,0
Xla-Novel-11-P2,0,1,0
Hsa-Mir-223,1,1,0
Ocu-Mir-29-P1b-v1,0,1,0
Spt-Mir-30-P2b,1,1,0
Bla-Mir-29-P1,0,1,0
Dma-Mir-193-P1,0,1,0
Tni-Mir-214-P2-v2,1,1,0
Dno-Mir-199-P2-v3,0,1,0
Loc-Mir-10-P3d,0,0,0
Xla-Mir-128-P1a,0,1,0
Cgi-Mir-153,0,1,0
Lpo-Mir-87-P2f,1,0,0
Sto-Mir-456,1,1,0
Mdo-Mir-7371-P12,0,0,1
Lgi-Mir-1988,0,0,0
Ovu-Novel-16-v2,0,0,0
Mmu-Mir-1958,0,1,0
Bfl-Mir-4888,1,1,0
Pma-Mir-7-o1,0,1,0
Sto-Mir-101-P1-v1,1,1,0
Dya-Mir-281-P2-v1,0,1,0
Mal-Mir-723-P1a,0,0,0
Spt-Mir-101-P1c,1,1,0
Cgi-Novel-6,0,1,0
Spt-Mir-17-P1c,0,0,0
Dpu-Mir-282,1,0,0
Mdo-Mir-7394-P3,0,1,0
Oan-Let-7-P1b,0,1,0
Mml-Mir-605-v2,0,0,0
Cfa-Mir-592,1,1,0
Dma-Mir-10-P4,0,0,0
Xla-Mir-96-P2c,1,1,0
Cfa-Mir-542-v2,0,1,0
Npo-Novel-4,1,1,1
Bta-Mir-2285-P7,0,0,0
Mml-Mir-550-P1,1,1,0
Xtr-Let-7-P1c,0,1,0
Mal-Mir-135-P4b,0,0,0
Mdo-Mir-7286,0,1,0
Cmi-Mir-338-P1,0,1,0
Mmu-Mir-430-P4,0,1,0
Asu-Mir-2-P11,1,0,0
Dan-Mir-2-P8,0,0,0
Sto-Mir-1-P3,0,1,0
Dan-Mir-978-v2,0,0,0
Ovu-Novel-74,1,1,0
Dno-Mir-328,0,1,0
Sto-Novel-2,0,0,0
Spt-Mir-10-P3c,0,0,0
Mmu-Mir-154-P20-v1,0,1,0
Gmo-Mir-10-P1c2-v1,0,0,0
Oan-Mir-142-P1-v2,0,0,0
Gmo-Mir-21-P2,1,1,0
Ami-Mir-219-P3,0,0,0
Lpo-Mir-305-P6,0,0,0
Bta-Mir-330-v2,0,0,0
Gja-Mir-551-P2,1,0,0
Xtr-Mir-1805,0,1,0
Ocu-Mir-196-P4,0,1,0
Ami-Mir-142-P1-v2,0,0,0
Bta-Mir-378,0,0,0
Gga-Mir-96-P2,1,1,0
Sto-Mir-10-P2c,1,1,0
Gga-Mir-193-P1a,0,0,1
Sto-Mir-101-P1-v2,1,0,0
Cpo-Mir-17-P1d,0,1,1
Pbv-Mir-101-P2-v2,1,0,0
Sto-Mir-129-P2,1,0,0
Cmi-Mir-199-P2-v1,0,0,0
Ocu-Mir-17-P1d,0,1,1
Gga-Mir-192-P1,1,1,0
Cpo-Mir-154-P18,0,1,0
Rno-Mir-30-P2b,1,1,0
Bta-Mir-146-P4-v2,0,1,0
Mal-Mir-10-P3d2,0,0,0
Sha-Mir-7262-P2,0,0,0
Rno-Mir-361-v1,0,1,0
Dre-Mir-130-P1a2,1,1,0
Aca-Mir-148-P4,1,1,0
Dan-Mir-9-P10,0,0,0
Efe-Mir-92-o39,0,0,0
Npo-Mir-71,1,1,0
Lpo-Mir-10-P2q,0,1,0
Pma-Mir-8-P2o2,0,1,0
Cli-Mir-133-P3-v2,0,1,0
Ete-Mir-103-P1,0,0,0
Dno-Mir-153-P2,1,1,0
Dre-Mir-2191,0,1,1
Tgu-Mir-15-P2b,0,1,0
Dre-Let-7-P1d2,0,1,0
Dre-Mir-2188,1,0,1
Mun-Let-7-P2a1,0,1,0
Cbr-Mir-2231,0,1,1
Tgu-Mir-10-P1c-v2,0,1,0
Mmu-Mir-187,0,1,0
Mun-Mir-124-P1-v2,0,1,0
Ete-Mir-19-P1a,0,1,1
Aca-Mir-101-P2-v2,1,0,0
Dya-Mir-276-P2,1,1,0
Cfa-Novel-22,0,0,0
Spt-Mir-338-P2,0,1,0
Oan-Mir-124-P4-v2,0,0,0
Mmu-Mir-3110,1,0,0
Cpi-Mir-1416,0,0,0
Ami-Mir-24-P3,0,1,0
Cpo-Mir-455,0,0,0
Lch-Mir-218-P2,0,1,0
Mmu-Mir-204-P1,1,0,0
Lch-Mir-103-P1,0,0,0
Ete-Mir-154-P25,1,0,0
Lpo-Mir-10-P3p,0,0,0
Cbr-Mir-10-P2,0,1,0
Cgi-Mir-193-P1,1,1,0
Mal-Mir-203-P1-v1,0,0,0
Dre-Mir-190-P1b,0,0,0
Mmu-Mir-126-P2-v3,0,1,1
Ocu-Mir-95-P2,0,0,0
Spu-Mir-210-v2,0,1,0
Lch-Mir-133-P3,0,1,0
Mmu-Mir-8-P1a,0,1,0
Cel-Mir-279-o8,0,1,0
Lch-Mir-92-P2c,0,0,0
Tgu-Mir-2962,0,1,0
Oan-Mir-1419-P3,1,0,0
Dme-Mir-2-P6a,0,1,0
Ami-Mir-17-P4a,0,0,0
Cli-Mir-10-P2d,0,1,0
Ami-Mir-184,0,1,0
Dre-Mir-140-P1-v2,0,1,0
Mml-Mir-430-P21,1,0,0
Dme-Mir-1010,1,1,0
Tni-Mir-181-P1c1,0,0,0
Mal-Mir-29-P1d2-v2,0,1,1
